file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\src\com\android\systemui\statusbar\notification\row\ExpandableNotificationRow.java,com.android.systemui.statusbar.notification.row.ExpandableNotificationRow$DismissButtonTargetVisibilityListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\multivalentTests\src\com\android\keyguard\KeyguardMessageAreaControllerTest.java,com.android.keyguard.KeyguardMessageAreaControllerTest,class,16,16,0,16,10,2,0,30,0,0.45,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,69,0,0,0,0,0,10,0,11,0,14,0,0,0,0,62,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\tests\TransitionTests\src\com\android\transitiontests\ScenesTestAutoTransition.java,com.android.transitiontests.ScenesTestAutoTransition,class,7,7,0,7,3,2,0,6,0,0.3,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,1,0,0,0,4,0,0,0,24,0,0,1,0,0,0,0,7,0,6,1,0,0,0,29,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\telephony\java\android\telephony\satellite\SatelliteSubscriberProvisionStatus.java,android.telephony.satellite.SatelliteSubscriberProvisionStatus$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\pm\pkg\PackageState.java,com.android.server.pm.pkg.PackageState,interface,20,85,65,20,57,1,0,2,1540,0.0,0.0,0.0,56,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,1,0,0,0,0,1,0,1,0,0,0,0,393,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\text\method\KeyListener.java,android.text.method.KeyListener,interface,3,7,4,3,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\content\ContentService.java,com.android.server.content.ContentService$ObserverNode,innerclass,10,10,0,10,53,1,0,26,21,0.6,0.0,0.0,10,2,8,2,0,0,8,0,0,0,3,0,0,3,0,0,0,0,5,213,9,7,17,0,2,18,22,32,13,26,5,0,1,0,88,25,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\widget\RemoteViews.java,android.widget.RemoteViews$BitmapReflectionAction,innerclass,15,15,0,15,8,2,0,11,0,0.41666666,0.0,0.0,8,0,6,0,0,2,8,0,0,0,3,0,0,0,0,3,0,0,0,42,2,0,0,0,0,0,0,11,0,5,0,0,0,0,55,2,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\src\com\android\systemui\media\dialog\MediaOutputBaseAdapter.java,com.android.systemui.media.dialog.MediaOutputBaseAdapter$MediaDeviceBaseViewHolder$Anonymous1,anonymous,4,4,0,4,9,1,0,13,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,42,1,0,4,0,2,0,3,11,2,6,1,0,0,0,49,-1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\src\com\android\systemui\media\dialog\MediaOutputBaseAdapter.java,com.android.systemui.media.dialog.MediaOutputBaseAdapter$MediaDeviceBaseViewHolder$Anonymous2,anonymous,1,1,0,1,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\pm\CrossProfileResolver.java,com.android.server.pm.CrossProfileResolver,class,9,12,3,9,11,1,2,8,9,0.6666666,0.0,0.0,6,0,3,0,3,0,6,2,3,0,2,0,0,0,2,0,2,0,0,41,4,1,3,2,1,0,3,7,1,7,2,0,0,0,141,1025,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\power\batterysaver\BatterySaverController.java,com.android.server.power.batterysaver.BatterySaverController$Anonymous1,anonymous,4,4,0,4,9,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,1,1,2,1,1,0,2,0,0,0,22,-1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\graphics\java\android\graphics\drawable\PaintDrawable.java,android.graphics.drawable.PaintDrawable,class,9,10,1,9,14,3,0,12,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,2,1,6,0,0,1,5,10,0,8,2,0,0,0,67,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\tests\coretests\src\android\app\activity\ActivityTestsBase.java,android.app.activity.ActivityTestsBase,class,9,14,5,9,37,2,4,19,206,0.88888884,0.0,0.0,24,0,22,0,2,0,24,0,0,0,9,2,2,6,1,0,2,0,2,140,11,1,9,1,3,7,5,23,4,15,3,0,0,0,87,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\com\android\internal\app\LocaleStore.java,com.android.internal.app.LocaleStore,class,10,13,3,10,92,1,0,65,132,0.8666666,0.0,0.0,20,20,11,9,0,0,11,0,0,0,6,6,0,6,0,0,5,0,30,482,29,12,18,1,1,8,9,90,1,66,4,0,1,2,188,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\com\android\internal\util\FunctionalUtils.java,com.android.internal.util.FunctionalUtils$ThrowingFunction,interface,3,3,0,3,3,1,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,0,1,0,0,0,0,1,0,0,0,33,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\tests\mockingservicestests\src\com\android\server\alarm\AlarmManagerServiceTest.java,com.android.server.alarm.AlarmManagerServiceTest$TestTimer,innerclass,1,1,0,1,6,1,0,3,9,0.7083334,0.0,0.0,6,0,0,0,0,6,6,0,0,6,4,0,0,3,0,1,0,0,0,28,3,0,0,0,0,0,0,4,0,4,0,0,0,0,29,8,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\accessibility\java\com\android\server\accessibility\gestures\GestureMatcher.java,com.android.server.accessibility.gestures.GestureMatcher$DelayedTransition,innerclass,3,3,0,3,15,1,0,14,5,0.53333336,0.0,0.0,6,0,5,1,0,0,5,0,0,0,5,1,0,1,0,4,1,0,3,58,2,0,2,0,0,4,0,9,3,5,2,0,0,0,53,20,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\pm\verify\domain\proxy\DomainVerificationProxyV1.java,com.android.server.pm.verify.domain.proxy.DomainVerificationProxyV1,class,19,21,2,19,36,1,0,47,0,0.7,0.0,0.0,8,1,6,2,0,0,6,0,0,0,10,2,0,10,0,0,9,0,1,183,11,5,7,3,0,18,10,46,8,45,5,0,2,0,110,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\pm\verify\domain\proxy\DomainVerificationProxyV2.java,com.android.server.pm.verify.domain.proxy.DomainVerificationProxyV2,class,10,11,1,10,7,1,0,15,0,0.52000004,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,2,0,5,0,0,5,0,0,42,4,0,0,0,0,5,0,10,1,10,2,0,1,0,55,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\tests\graphics\HwAccelerationTest\src\com\android\test\hwui\LayersActivity.java,com.android.test.hwui.LayersActivity,class,4,4,0,4,1,3,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\os\strictmode\WebViewMethodCalledOnWrongThreadViolation.java,android.os.strictmode.WebViewMethodCalledOnWrongThreadViolation,class,1,2,1,1,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\com\android\internal\widget\ConversationHeaderLinearLayout.java,com.android.internal.widget.ConversationHeaderLinearLayout,class,9,10,1,9,29,2,0,18,21,0.0,0.0,0.0,7,0,3,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,107,3,5,9,0,4,0,18,31,7,20,3,0,1,0,130,1,0
